brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Ford,Ranger,2013.0,160000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,199000000
VinFast,VF3,2024.0,4500.0,Điện,Tự động,Việt Nam,SUV / Cross over,4.0,258000000
Mercedes Benz,C Class,2019.0,63000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,899000000
Toyota,Fortuner,2014.0,106000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,540000000
Mazda,3,2020.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,635000000
Mercedes Benz,GLK Class,2009.0,120000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,333000000
Ford,Everest,2013.0,6000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,275000000
Peugeot,5008,2018.0,95497.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,710000000
Ford,Transit,2016.0,180000.0,Dầu,Số sàn,Việt Nam,Van,16.0,310000000
Mazda,3,2018.0,30000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,465000000
Mitsubishi,Pajero Sport,2016.0,47000.0,Xăng,Số sàn,Thái Lan,SUV / Cross over,7.0,405000000
Mercedes Benz,C Class,2013.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,329000000
Toyota,Innova,2008.0,140000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,193000000
MG,MGZS,2020.0,79000.0,Xăng,Tự động,Trung Quốc,SUV / Cross over,5.0,389000000
Mitsubishi,Xpander,2022.0,72000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,470000000
Mitsubishi,Xpander,2019.0,80000.0,Xăng,Tự động,Nước khác,Minivan (MPV),5.0,438000000
Mercedes Benz,C Class,2011.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,268000000
Suzuki,XL 7,2024.0,24000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),7.0,555000000
Nissan,Navara,2013.0,100000.0,Xăng,Tự động,Thái Lan,Pick-up (bán tải),5.0,260000000
Mazda,3,2022.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,555000000
Kia,Cerato,2018.0,65689.0,Xăng,Tự động,Việt Nam,Sedan,5.0,409000000
Audi,Q7,2008.0,90000.0,Xăng,Tự động,Đức,SUV / Cross over,7.0,339000000
VinFast,VF5,2024.0,10000.0,Điện,Tự động,Việt Nam,Hatchback,5.0,485000000
Kia,Morning,2021.0,50000.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,238000000
VinFast,VF9,2023.0,11600.0,Điện,Tự động,Việt Nam,SUV / Cross over,7.0,1150000000
Toyota,Wigo,2018.0,70551.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,280000000
Honda,Brio,2019.0,80000.0,Xăng,Tự động,Hàn Quốc,Hatchback,5.0,315000000
Subaru,Forester,2021.0,53000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,770000000
BMW,3 Series,2003.0,112.0,Xăng,Tự động,Việt Nam,Sedan,5.0,89000000
Toyota,Innova,2013.0,116000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,285000000
Toyota,Innova,2019.0,78000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,441000000
Mercedes Benz,GLA Class,2016.0,78000.0,Xăng,Bán tự động,Đức,SUV / Cross over,8.0,590000000
Porsche,Macan,2017.0,42000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,1759000000
BMW,7 Series,2010.0,140000.0,Xăng,Tự động,Mỹ,Sedan,4.0,495000000
Mazda,3,2023.0,20000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,605000000
Ford,Explorer,2019.0,38000.0,Xăng,Tự động,Mỹ,SUV / Cross over,2.0,1160000000
Hyundai,Santa Fe,2021.0,57000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,955000000
Kia,Sedona,2016.0,112000.0,Dầu,Tự động,Hàn Quốc,SUV / Cross over,8.0,588000000
Mazda,CX 5,2018.0,103600.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,580000000
BMW,3 Series,2004.0,89000.0,Xăng,Tự động,Đức,Sedan,5.0,89990000
Toyota,Fortuner,2024.0,8000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,1168000000
Hyundai,Accent,2016.0,90000.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,329000000
Mercedes Benz,C Class,2020.0,40000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,999000000
Toyota,Yaris,2009.0,135000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,248000000
Mercedes Benz,GLC Class,2024.0,25000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,2458000000
Honda,City,2020.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,445000000
Mazda,3,2020.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,499000000
Toyota,Innova,2011.0,60000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,196000000
Nissan,Sunny,2014.0,20000.0,Xăng,Số sàn,Thái Lan,Sedan,5.0,154100000
Honda,City,2021.0,95000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,455000000
Hyundai,Elantra,2020.0,60000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,495000000
Mercedes Benz,V Class,2020.0,35000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,1799000000
Hyundai,Grand i10,2016.0,2000.0,Xăng,Số sàn,Ấn Độ,Hatchback,5.0,175000000
Nissan,X trail,2019.0,64000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,609000000
Mitsubishi,Xpander,2019.0,66000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,468000000
Kia,Carnival,2022.0,26000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,1239000000
Ford,Everest,2019.0,55000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,849000000
Honda,Civic,2014.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,385000000
Ford,Everest,2019.0,60000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,859999000
Nissan,Navara,2023.0,40000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,589000000
Hyundai,Elantra,2017.0,94000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,388000000
Mitsubishi,Pajero,2006.0,95000.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,7.0,185000000
Ford,Ranger,2019.0,130000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,475000000
