id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
127827539,Ford Everest 2023 Titanium 2.0L 4x2 AT - 28000 km,Ford,Everest,2023,1185000000,28000,Dầu,Tự động,1,Thái Lan,SUV / Cross over,7,Đã sử dụng,"Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 phút trước,2025-09-19 11:35:59,> 1 tấn,> 2 tấn
126080173,Toyota Corolla Altis 2018 1.8G CVT  siêu mới,Toyota,Corolla Altis,2018,457000000,83,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Đăng 2 phút trước,2025-09-19 11:36:00,> 1 tấn,> 2 tấn
120198638,Suzuki XL7 Black Edition đặc biệt LIÊN HỆ ĐĂT XE,Suzuki,XL 7,2025,599900000,,Xăng,Tự động,,Nước khác,SUV / Cross over,7,Mới,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đăng 10 ngày trước,2025-09-19 11:36:03,,
126934532,Toyota Fortuner 2.4AT 4x2 sx 2022 máy dầu,Toyota,Fortuner,2022,925000000,70000,Xăng,Tự động,,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đăng 1 tháng trước,2025-09-19 11:36:05,> 1 tấn,> 2 tấn
127644581,Hyundai Stargazer 2022 số tự động nhập indo,Hyundai,Stargazer,2022,405000000,86000,Xăng,Tự động,,Nước khác,Minivan (MPV),7,Đã sử dụng,"Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",Đăng 3 phút trước,2025-09-19 11:36:07,> 1 tấn,> 2 tấn
126219234,Mazda 2 2022 Sport Luxury - 42000 km,Mazda,2,2022,425000000,42000,Xăng,Tự động,1,Thái Lan,Hatchback,,Đã sử dụng,"Phường Long Biên, Quận Long Biên, Hà Nội",Đăng 3 phút trước,2025-09-19 11:36:09,> 1 tấn,> 2 tấn
127676062,Vios 1.5 G 2016  - 1 chủ 80000 km,Toyota,Vios,2016,318000000,80000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Xã Kim Long, Huyện Châu Đức, Bà Rịa - Vũng Tàu",Đăng 3 phút trước,2025-09-19 11:36:10,> 1 tấn,> 2 tấn
126866508,Kia Sedona 2019 2.2 DAT Luxury - 48000 km,Kia,Sedona,2019,740000000,48000,Dầu,Tự động,1,Việt Nam,Minivan (MPV),7,Đã sử dụng,"Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-09-19 11:36:12,> 1 tấn,> 2 tấn
126070362,Hyundai Santa Fe 2015 2.2L 4WD - 78000 km,Hyundai,Santa Fe,2015,590000000,78000,Dầu,Tự động,1,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Đăng 3 tháng trước,2025-09-19 11:36:16,> 1 tấn,> 2 tấn
127827457,LƯỚT NHẸ EVEREST 2023 TITANIUM NHƯ MỚI ĐẸP,Ford,Everest,2023,1185000000,28000,Dầu,Tự động,1,Thái Lan,SUV / Cross over,7,Đã sử dụng,"Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 4 phút trước,2025-09-19 11:36:18,> 1 tấn,> 2 tấn
