id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
127831656,Toyota Vios 2022 E 1.5 MT - 43000 km,Toyota,Vios,2022,385000000,43000,Xăng,Số sàn,1,Việt Nam,Sedan,5,Đã sử dụng,"Xã Bình Thạnh, Huyện Cao Lãnh, Đồng Tháp",Đăng 18 giây trước,2025-09-19 14:13:20,> 1 tấn,> 2 tấn
127831631,❤️ MERCEDES S500 2015 Maybach–Đ𝐈̉𝐍𝐇 𝐂𝐇𝐔𝐀̂̉𝐍 𝐗𝐀 𝐇𝐎𝐀,Mercedes Benz,S Class,2014,1298000000,92000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 phút trước,2025-09-19 14:13:23,> 1 tấn,> 2 tấn
127831610,Ford Ranger 2015 Wildtrak 3.2L 4x4 AT - 180000 km,Ford,Ranger,2015,550000000,180000,Dầu,Tự động,1,Thái Lan,Pick-up (bán tải),5,Đã sử dụng,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đăng 2 phút trước,2025-09-19 14:13:25,> 1 tấn,> 2 tấn
127673545,Toyota Fortuner 2.7AT 4X2 2022 Xe hãng bán,Toyota,Fortuner,2022,930000000,40300,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,9,Đã sử dụng,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 2 phút trước,2025-09-19 14:13:26,> 1 tấn,> 2 tấn
127195926,GD cần bán Hyundai Grand i10,Hyundai,Grand i10,2023,269000000,29000,Xăng,Số sàn,,Việt Nam,,,Đã sử dụng,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-09-19 14:13:27,> 1 tấn,> 2 tấn
127517074,"TOYOTA RUSH 2018, TỰ ĐỘNG 1.5, 7 CHỖ 2 DÀN LẠNH",Toyota,Rush,2018,410000000,90000,Xăng,Tự động,1,Nước khác,Minivan (MPV),7,Đã sử dụng,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 14 ngày trước,2025-09-19 14:13:30,> 1 tấn,> 2 tấn
127831552,2019 1.8E CVT - 59000 km,Toyota,Corolla Altis,2019,520000000,59000,Xăng,Tự động,,Việt Nam,Sedan,5,Đã sử dụng,"Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",Đăng 4 phút trước,2025-09-19 14:13:33,> 1 tấn,> 2 tấn
127346462,Toyota Zace 2001 GL - 160000 km,Toyota,Zace,2001,85000000,160000,Xăng,Số sàn,,Việt Nam,SUV / Cross over,8,Đã sử dụng,"Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 4 phút trước,2025-09-19 14:13:35,> 1 tấn,> 2 tấn
127321191,CẦN BÁN NHANH TOYOTA INNOVA 2.0G,Toyota,Innova,2013,317000000,127000,Xăng,Tự động,1,Đang cập nhật,,,Đã sử dụng,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 4 phút trước,2025-09-19 14:13:37,> 1 tấn,> 2 tấn
115461156,"🚗 Honda Odyssey 2.4 AT 2016 model 2017 , nhập Nhật",Honda,Odyssey,2016,916000000,50000,Xăng,Tự động,1,Đang cập nhật,Minivan (MPV),8,Đã sử dụng,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đăng 4 phút trước,2025-09-19 14:13:41,> 1 tấn,> 2 tấn
123702610,VinFast Lux SA2.0 2019 Plus 2.0 AT - 89638 km,VinFast,Lux SA2.0,2019,595000000,89638,Xăng,Tự động,,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Đăng 4 phút trước,2025-09-19 14:13:43,> 1 tấn,> 2 tấn
127221126,Mercedes E300 AMG sx2019 odo 38k km biển SG 1 chủ,Mercedes Benz,E Class,2019,1339000000,38000,Xăng,Tự động,,Việt Nam,Sedan,5,Đã sử dụng,"Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-19 14:13:46,> 1 tấn,> 2 tấn
127649942,Lexus RX 350 F Sport Model 2017,Lexus,RX,2016,2199000000,50000,Xăng,Tự động,1,Nhật Bản,SUV / Cross over,5,Đã sử dụng,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 8 phút trước,2025-09-19 14:13:49,> 1 tấn,> 2 tấn
127831261,trả trước 130tr nhận xe ngay,Hyundai,Stargazer,2025,525000000,,Xăng,Tự động,,Hàn Quốc,Van,7,Mới,"Phường 2, Quận 6, Tp Hồ Chí Minh",Đăng 14 phút trước,2025-09-19 14:13:52,,
127233736,Hyundai Elantra 2023 N-Line 1.6 Turbo Chính Chủ,Hyundai,Elantra,2023,645000000,58000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đăng 9 phút trước,2025-09-19 14:13:54,> 1 tấn,> 2 tấn
127831396,Porsche Cayenne Turbo Diesel 2010 - Bao Check Hãng,Porsche,Cayenne,2010,1360000000,43200,Dầu,Tự động,1,Nước khác,Sedan,5,Đã sử dụng,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 10 phút trước,2025-09-19 14:13:55,> 1 tấn,> 2 tấn
121250840,Honda HR-V 2018 1.8 L nhập Thái Lan - 78.797 km,Honda,HR-V,2018,520000000,78797,Xăng,Tự động,1,Thái Lan,SUV / Cross over,5,Đã sử dụng,"Phường An Phú, Thành phố Thuận An, Bình Dương",Đăng 10 phút trước,2025-09-19 14:13:57,> 1 tấn,> 2 tấn
126895864,Kia Forte 2013 EX 1.6 MT - 112000 km,Kia,Forte,2013,218000000,112000,Xăng,Số sàn,1,Hàn Quốc,Sedan,5,Đã sử dụng,"Xã Hiệp Thạnh, Huyện Đức Trọng, Lâm Đồng",Đăng 12 phút trước,2025-09-19 14:14:00,> 1 tấn,> 2 tấn
127831325,Toyota Camry 2.0E 2009 model 2010 bks Hà Nội,Toyota,Camry,2009,315000000,112000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đăng 12 phút trước,2025-09-19 14:14:02,> 1 tấn,> 2 tấn
125464904,Hyundai Kona 2019 2.0 ATH - 69000 km,Hyundai,Kona,2019,460000000,69000,Xăng,Tự động,,Việt Nam,SUV / Cross over,,Đã sử dụng,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Đăng 13 phút trước,2025-09-19 14:14:04,> 1 tấn,> 2 tấn
