id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
124196845,Mazda 3 2022 1.5L Luxury - 37000 km 546Tr,Mazda,3,2022,539000000,37000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",Đăng 1 tháng trước,2025-05-24 19:39:13,> 1 tấn,> 2 tấn
125096350,Hyundai Accent 2018 1.4 MT - 120000 km,Hyundai,Accent,2018,368000000,120000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 5 ngày trước,2025-05-24 19:39:14,> 1 tấn,> 2 tấn
124382214,Toyota Yaris 2009 1.3 AT - 135000 km,Toyota,Yaris,2009,239000000,135000,Xăng,Tự động,,Nhật Bản,Sedan,5,Đã sử dụng,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:39:16,> 1 tấn,> 2 tấn
123500040,"Suzuki Swift, Bản đặc biệt, Xe gia đình mình",Suzuki,Swift,2019,435000000,61000,Xăng,Tự động,,Thái Lan,Hatchback,5,Đã sử dụng,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 2 tháng trước,2025-05-24 19:39:18,> 1 tấn,> 2 tấn
125207028,Ford EcoSport 2016 1.5L Titanium AT - 110 km,Ford,EcoSport,2016,330000000,110,Xăng,Tự động,,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Đăng 6 giờ trước,2025-05-24 19:39:19,> 1 tấn,> 2 tấn
124257915,🔥 𝐓𝐨𝐲𝐨𝐭𝐚 𝐂𝐚𝐦𝐫𝐲 𝟐.𝟎𝐐 𝐌𝐨𝐝𝐞𝐥 𝟐𝟎𝟐𝟒  𝐎𝐝𝐨: 𝟕.𝟎𝟎𝟎𝐤𝐦,Toyota,Camry,2023,1119000000,7000,Xăng,Tự động,1,Thái Lan,Sedan,5,Đã sử dụng,"Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:39:21,> 1 tấn,> 2 tấn
115552830,Hyundai Stargazer X Trả Trước 128 triệu nhận xe,Hyundai,Stargazer,2025,128000000,,Xăng,Tự động,,Nước khác,--,7,Mới,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:39:22,,
124838853,Mazda CX 5 2019 2.5L AT FWD - 79000 km,Mazda,CX 5,2019,599000000,79000,Xăng,Tự động,,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Xuân Trung, Thành phố Long Khánh, Đồng Nai",Đăng 16 ngày trước,2025-05-24 19:39:24,> 1 tấn,> 2 tấn
122783123,Mazda CX 5 2017 2.0AT 1 chủ từ đầu xe đẹp,Mazda,CX 5,2017,535000000,100000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 1 tháng trước,2025-05-24 19:39:25,> 1 tấn,> 2 tấn
124965642,Porsche Cayenne 2015 3.6L Model 2016,Porsche,Cayenne,2015,1499000000,68000,Xăng,Tự động,1,Đức,SUV / Cross over,5,Đã sử dụng,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 10 ngày trước,2025-05-24 19:39:27,> 1 tấn,> 2 tấn
124977298,"VinFast VFe34, biển TPHCM, một chủ, còn RẤT MỚI",VinFast,VFe34,2022,468000000,27300,Điện,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 10 ngày trước,2025-05-24 19:39:28,> 1 tấn,> 2 tấn
124914846,VinFast VF3 2025  hỗ trợ giá tốt,VinFast,VF3,2025,299000000,,Điện,Tự động,,Việt Nam,SUV / Cross over,4,Mới,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 2 phút trước,2025-05-24 19:39:30,,
125002974,Mercedes Benz C200 2016,Mercedes Benz,C Class,2016,599000000,85000,Xăng,Tự động,,Việt Nam,Sedan,5,Đã sử dụng,"Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-05-24 19:39:32,> 1 tấn,> 2 tấn
125119046,Kia Carens 2012 - 110000 km,Kia,Carens,2012,215000000,110000,Xăng,Số sàn,,Hàn Quốc,--,,Đã sử dụng,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 phút trước,2025-05-24 19:39:33,> 1 tấn,> 2 tấn
123807676,Honda City 2016 1.5 CVT xe zin không lỗi,Honda,City,2016,329000000,100000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 9 phút trước,2025-05-24 19:39:34,> 1 tấn,> 2 tấn
