id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
126717191,Mazda CX-30 2024 Luxury 2.0 AT - 7500 km,,,,690000000,,,,,,,,,"Phường 11, Quận 3, Tp Hồ Chí Minh",Đăng 1 phút trước,2025-09-10 09:12:34,,
126417953,Bán E300 Sản Xuất 2021 đi 38.000 km bao test hãng,,,,1689000000,,,,,,,,,"Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh",Đăng 2 tháng trước,2025-09-10 09:12:35,,
127349031,Bentley Continental GT Coupe Model 2014 siêu lướt,,,,3499000000,,,,,,,,,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 1 phút trước,2025-09-10 09:12:37,,
127529783,VF5 GIÁ SỐC THÁNG 9,,,,487000000,,,,,,,,,"Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 2 phút trước,2025-09-10 09:12:38,,
127583626,Honda CR V 2022 L - 10500 km-8xx tr-TL Mạnh xả kho,,,,880000000,,,,,,,,,"Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đăng 2 ngày trước,2025-09-10 09:12:40,,
127610983,Hyundai Santa Fe 2021 2.5 Xăng Đặc Biệt - 889tr,,,,889000000,,,,,,,,,"Xã Hoà Bình, Huyện Thuỷ Nguyên, Hải Phòng",Đăng 10 giờ trước,2025-09-10 09:12:41,,
127102384,Pajero Sport  4x4  máy dầu hai cầu có đỗ xe,,,,345000000,,,,,,,,,"Phường Chi Lăng, Thành phố Pleiku, Gia Lai",Đăng 25 ngày trước,2025-09-10 09:12:47,,
126799327,"FORD GANGER XLS dầu 2.2 số tự động,một cầu, sx2018",,,,455000000,,,,,,,,,"Phường 13, Quận 4, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-10 09:12:48,,
127358437,VinFast Lux A2.0 2022 A2.0 Tiêu chuẩn - 35000 km,,,,545000000,,,,,,,,,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 13 ngày trước,2025-09-10 09:12:50,,
127524749,Ford Transit 2023 (đk2024) Tiêu chuẩn - 52000 km,,,,735000000,,,,,,,,,"Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 5 ngày trước,2025-09-10 09:12:51,,
127545627,GLB 200 AMG 2022 - 46.260km,,,,1350000000,,,,,,,,,"Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",Đăng 4 ngày trước,2025-09-10 09:12:52,,
125347751,Suzuki Ertiga 2022 hybrid AT - 71000 km,,,,455000000,,,,,,,,,"Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đăng 9 phút trước,2025-09-10 09:12:57,,
126682822,"✂️Mitsubishi Xforce 2025 - MỚI 100%, CHƯA LĂN BÁNH",,,,629000000,,,,,,,,,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",Đăng 12 phút trước,2025-09-10 09:12:59,,
124962940,VinFast Lux SA2.0 2021 Plus 2.0 AT - 61000 km,,,,695000000,,,,,,,,,"Phường Trần Thành Ngọ, Quận Kiến An, Hải Phòng",Đăng 13 phút trước,2025-09-10 09:13:05,,
111413393,MUA Ô TÔ XE TẢI DU LỊCH HƯ CŨ NGẬP NƯỚC CHÁY NỔ,,,,168000000,,,,,,,,,"Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Đăng 13 phút trước,2025-09-10 09:13:07,,
126682822,"✂️Mitsubishi Xforce 2025 - MỚI 100%, CHƯA LĂN BÁNH",,,,629000000,,,,,,,,,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",Đăng 12 phút trước,2025-09-10 09:13:08,,
126883866,Audi A6 1.8 TFSI Model 2016,,,,589000000,,,,,,,,,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-10 09:13:13,,
