id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
127349031,Bentley Continental GT Coupe Model 2014 siêu lướt,,,,3499000000,,,,,,,,,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 9 phút trước,2025-09-05 16:06:08,,
127301129,Ford Ranger 2018 Wildtrak 2.0 4x4 - 88000 km,,,,575000000,,,,,,,,,"Phường An Bình, Thành phố Biên Hòa, Đồng Nai",Đăng 11 ngày trước,2025-09-05 16:06:10,,
127021609,SYM 2008 - 12345 km,,,,46000000,,,,,,,,,"Xã Vĩnh Phương, Thành phố Nha Trang, Khánh Hòa",Đăng 24 ngày trước,2025-09-05 16:06:11,,
125656611,Mercedes glc 300 sx 23 lướt 5 ngàn km rin 100%,,,,2420000000,,,,,,,,,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 ngày trước,2025-09-05 16:06:13,,
127022203,Mercedes Benz C Class 2015 C200 - 55000 km,,,,555000000,,,,,,,,,"Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",Đăng 5 phút trước,2025-09-05 16:06:15,,
127312521,"[ES300h] Màu Đen, sản xuất 2023. Xe đẹp 01 chủ🇻🇳",,,,2980000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 11 ngày trước,2025-09-05 16:06:16,,
127461502,"CITY RS SENSING 2024 CỰC MỚI, ODO: CHỈ 11.000KM",,,,520000000,,,,,,,,,"Phường 12, Quận 10, Tp Hồ Chí Minh",Đăng 3 ngày trước,2025-09-05 16:06:18,,
127340774,Kia Sorento 2013 GMT 2.4L 2WD - Full Option Đẹp,,,,379000000,,,,,,,,,"Phường Tân Bình, Thành phố Dĩ An, Bình Dương",Đăng 9 ngày trước,2025-09-05 16:06:23,,
125656611,Mercedes glc 300 sx 23 lướt 5 ngàn km rin 100%,,,,2420000000,,,,,,,,,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 ngày trước,2025-09-05 16:06:25,,
126740515,Mercedes Benz S500 Maybach 2015,,,,1299000000,,,,,,,,,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-05 16:06:27,,
126314432,Bán xe Hyundai Grand Starex CVX Tải van 5 Chỗ,,,,345000000,,,,,,,,,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đăng 2 tháng trước,2025-09-05 16:06:32,,
127350050,Mercedes Benz GLE400 4Matic  Moel 2016,,,,1139000000,,,,,,,,,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 25 phút trước,2025-09-05 16:06:33,,
115558586,"Volvo XC40 Ultra 2025, ưu đãi 200 triệu đồng",,,,1620000000,,,,,,,,,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",Đăng 20 ngày trước,2025-09-05 16:06:45,,
125664697,Mitsubishi Xforce Ultimate 2025 -Giảm 100% Trc Bạ,,,,639000000,,,,,,,,,"Phường Tân Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 30 phút trước,2025-09-05 16:06:49,,
123895883,HERIO TRẢ TRƯỚC 70 TRIỆU- TẶNG BHVC-12 TRIỆU TM,,,,479000000,,,,,,,,,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 5 tháng trước,2025-09-05 16:06:55,,
121017655,Volvo EC40 Recharge 2025 xe điện giao T9/2025,,,,1739000000,,,,,,,,,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",Đăng 20 ngày trước,2025-09-05 16:06:57,,
127138230,🚗 BÁN XE TOYOTA VIOS🚗 BÁN XE TOYOTA VIOS 2022,,,,385000000,,,,,,,,,"Phường Quán Thánh, Quận Ba Đình, Hà Nội",Đăng 41 phút trước,2025-09-05 16:06:59,,
126682513,Toyota Hiace 2008 van 3 chỗ tải 940kg chạy phố,,,,199000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 1 tháng trước,2025-09-05 16:07:00,,
126942150,Audi A8L 2016 - 58000 km,,,,1299000000,,,,,,,,,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-05 16:07:02,,
