id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
125096350,Hyundai Accent 2018 1.4 MT - 120000 km,Hyundai,Accent,2018,368000000,120000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 5 ngày trước,2025-05-24 19:42:39,> 1 tấn,> 2 tấn
124646163,Ford EcoSport 2016 1.5L Titanium AT,Ford,EcoSport,2016,335000000,90000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Long Biên, Quận Long Biên, Hà Nội",Đăng 25 ngày trước,2025-05-24 19:42:40,> 1 tấn,> 2 tấn
124382214,Toyota Yaris 2009 1.3 AT - 135000 km,Toyota,Yaris,2009,239000000,135000,Xăng,Tự động,,Nhật Bản,Sedan,5,Đã sử dụng,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:42:42,> 1 tấn,> 2 tấn
124960865,Kia Cerato 2010 1.6 MT - Đưa 140tr nhận xe,Kia,Cerato,2010,140000000,99999,Xăng,Số sàn,,Hàn Quốc,Sedan,5,Đã sử dụng,"Phường Cái Vồn, Thị xã Bình Minh, Vĩnh Long",Đăng 10 ngày trước,2025-05-24 19:42:44,> 1 tấn,> 2 tấn
124257915,🔥 𝐓𝐨𝐲𝐨𝐭𝐚 𝐂𝐚𝐦𝐫𝐲 𝟐.𝟎𝐐 𝐌𝐨𝐝𝐞𝐥 𝟐𝟎𝟐𝟒  𝐎𝐝𝐨: 𝟕.𝟎𝟎𝟎𝐤𝐦,Toyota,Camry,2023,1119000000,7000,Xăng,Tự động,1,Thái Lan,Sedan,5,Đã sử dụng,"Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:42:45,> 1 tấn,> 2 tấn
115552830,Hyundai Stargazer X Trả Trước 128 triệu nhận xe,Hyundai,Stargazer,2025,128000000,,Xăng,Tự động,,Nước khác,--,7,Mới,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-24 19:42:46,,
122783123,Mazda CX 5 2017 2.0AT 1 chủ từ đầu xe đẹp,Mazda,CX 5,2017,535000000,100000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 1 tháng trước,2025-05-24 19:42:47,> 1 tấn,> 2 tấn
124977298,"VinFast VFe34, biển TPHCM, một chủ, còn RẤT MỚI",VinFast,VFe34,2022,468000000,27300,Điện,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 10 ngày trước,2025-05-24 19:42:48,> 1 tấn,> 2 tấn
124914846,VinFast VF3 2025  hỗ trợ giá tốt,VinFast,VF3,2025,299000000,,Điện,Tự động,,Việt Nam,SUV / Cross over,4,Mới,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 phút trước,2025-05-24 19:42:50,,
125215886,Mazda CX 5 2021 - 20000 km,Mazda,CX 5,2021,728000000,20000,Xăng,Tự động,,Việt Nam,--,5,Đã sử dụng,"Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-05-24 19:42:51,> 1 tấn,> 2 tấn
125002974,Mercedes Benz C200 2016,Mercedes Benz,C Class,2016,599000000,85000,Xăng,Tự động,,Việt Nam,Sedan,5,Đã sử dụng,"Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",Đăng 7 phút trước,2025-05-24 19:42:53,> 1 tấn,> 2 tấn
122712948,Mec GLA 45AMG 2014 361hp,Mercedes Benz,GLA Class,2014,615000000,63000,Xăng,Tự động,1,Đức,SUV / Cross over,5,Đã sử dụng,"Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương",Đăng 1 tháng trước,2025-05-24 19:42:54,> 1 tấn,> 2 tấn
125215896,Toyota Innova sản xuất 2012 mẫu mới số tự động,Toyota,Innova,2012,315000000,120000,Xăng,Tự động,,Việt Nam,Minivan (MPV),8,Đã sử dụng,"Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-05-24 19:42:56,> 1 tấn,> 2 tấn
125119046,Kia Carens 2012 - 110000 km,Kia,Carens,2012,215000000,110000,Xăng,Số sàn,,Hàn Quốc,--,,Đã sử dụng,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 phút trước,2025-05-24 19:42:57,> 1 tấn,> 2 tấn
