brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Hyundai,Santa Fe,2020.0,60000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,895000000
Audi,A6,2015.0,78000.0,Xăng,Tự động,Đức,Sedan,5.0,639000000
Ford,Ranger,2018.0,87000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,598000000
Mercedes Benz,GLC,2017.0,145000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,888000000
Ford,Everest,2021.0,78000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,988000000
Mazda,2,2022.0,41000.0,Xăng,Tự động,Thái Lan,Hatchback,5.0,455000000
Ford,Transit,2019.0,155000.0,Dầu,Số sàn,Việt Nam,Van,16.0,490000000
Toyota,Fortuner,2017.0,79000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,650000000
Isuzu,Mu X,2019.0,158.0,Dầu,Số sàn,Thái Lan,SUV / Cross over,7.0,475000000
Toyota,Innova,2012.0,90000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,328000000
Kia,Seltos,2021.0,22000.0,Xăng,Tự động,Hàn Quốc,SUV / Cross over,5.0,599000000
Mercedes Benz,C Class,2020.0,45000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1099000000
Ford,Territory,2023.0,25000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,845000000
Mercedes Benz,C Class,2009.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,225000000
Mitsubishi,Pajero Sport,2015.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,390000000
Mitsubishi,Grandis,2008.0,130000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),5.0,330000000
Ford,Everest,2019.0,88000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,745000000
Mitsubishi,Xpander Cross,2024.0,31000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,635000000
Ford,Ranger,2022.0,38000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,745000000
Ford,Tourneo,2019.0,48000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,720000000
LandRover,Range Rover Evoque,2014.0,46000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,739000000
VinFast,Lux A2.0,2021.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,580000000
Toyota,Innova,2018.0,63000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,425000000
Toyota,Corolla Cross,2021.0,54000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,705000000
Toyota,Sienna,2016.0,59000.0,Xăng,Tự động,Mỹ,Minivan (MPV),7.0,1650000000
Ford,Ranger,2022.0,68200.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,565000000
Ford,Explorer,2017.0,69668.0,Xăng,Tự động,Mỹ,SUV / Cross over,7.0,966000000
Ford,Everest,2018.0,75000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,865000000
Toyota,Hilux,2020.0,53000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,599000000
Audi,A6,2014.0,62000.0,Xăng,Tự động,Đức,Sedan,5.0,589000000
Mazda,3,2004.0,120.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,105000000
Mercedes Benz,C Class,2019.0,68000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,999000000
Ford,Territory,2023.0,24500.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,862000000
Ford,Ranger,2023.0,16000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,889000000
VinFast,Fadil,2020.0,42000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,315000000
Ford,Ranger,2023.0,32668.0,Dầu,Tự động,Thái Lan,Minivan (MPV),5.0,1176000000
Mercedes Benz,S Class,2017.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1320000000
Ford,Fiesta,2011.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,195000000
Ford,EcoSport,2018.0,79668.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,426000000
Ford,Everest,2022.0,31000.0,Dầu,Tự động,Mỹ,SUV / Cross over,7.0,1299000000
Ford,Everest,2018.0,156668.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,826000000
Mazda,CX 5,2017.0,79500.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,512000000
Ford,Everest,2018.0,88000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,829000000
Toyota,Vios,2021.0,52000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,405000000
Hyundai,Accent,2018.0,98000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,265000000
Kia,Sedona,2018.0,84000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,740000000
Kia,Cerato,2019.0,54000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,479000000
Mitsubishi,Xpander,2020.0,71000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,470000000
Mercedes Benz,GLC Class,2018.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1099000000
Toyota,Innova,2012.0,120000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,240000000
Kia,Rio,2015.0,58451.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,323000000
