brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Hyundai,Kona,2021.0,50000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,548000000
Hyundai,Grand i10,2020.0,68.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,239000009
Ford,Territory,2023.0,20000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,675000000
Honda,City,2023.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,505000000
Mercedes Benz,V Class,2015.0,76000.0,Dầu,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,950000000
Ford,Ranger,2019.0,86000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,635000000
Mercedes Benz,GLC,2018.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,890000000
MG,MGZS,2024.0,7000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,580000000
LandRover,Range Rover,2016.0,480000.0,Xăng,Tự động,Nước khác,SUV / Cross over,8.0,Đã sử dụng,4979000000
Hyundai,Santa Fe,2019.0,30000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,835000000
Mazda,CX 5,2012.0,90000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,415000000
VinFast,Fadil,2021.0,42000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,310000000
Hyundai,Starex,2008.0,250000.0,Dầu,Tự động,Hàn Quốc,Pick-up (bán tải),6.0,Đã sử dụng,305000000
Hyundai,Accent,2019.0,69000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,393000000
Hyundai,Accent,2024.0,14000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,480000000
Kia,K3,2023.0,28000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,619000000
Chevrolet,Vivant,2008.0,21000.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,125000000
Toyota,Innova,2009.0,200000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,205000000
Kia,Carnival,2024.0,8000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1620000000
VinFast,Lux A2.0,2022.0,83000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,590000000
Kia,Seltos,2023.0,3400.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,650000000
Mercedes Benz,GLC Class,2022.0,25.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,2199000000
Toyota,Corolla Cross,2025.0,1000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,839000000
Honda,CR V,2014.0,133458.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,470000000
Mitsubishi,Grandis,2008.0,86000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,265000000
Honda,Civic,2007.0,186386.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,Đã sử dụng,208000000
Hyundai,Accent,2023.0,34000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,460000000
Toyota,Fortuner,2020.0,56000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,860000000
Honda,CR V,2021.0,48000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,849000000
Toyota,Fortuner,2019.0,87600.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,Đã sử dụng,729000000
Nissan,Navara,2015.0,10000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,320000000
Toyota,Vios,2016.0,96000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,205000000
Ford,Fiesta,2014.0,112639.0,Xăng,Tự động,Mỹ,Hatchback,5.0,Đã sử dụng,225000000
Mitsubishi,Xpander,2023.0,60000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,516000000
Toyota,Fortuner,2016.0,112345.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,515000000
Mitsubishi,Grandis,2005.0,91686.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,203000000
Hyundai,Elantra,2019.0,72000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,458000000
Ford,Ranger,2021.0,109000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,499000000
Toyota,Innova,2007.0,147998.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,210000000
Mercedes Benz,GLC Class,2022.0,9000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1799000000
Ford,Ranger,2018.0,40000.0,Dầu,Tự động,Nước khác,Pick-up (bán tải),5.0,Đã sử dụng,890000000
Hyundai,Grand Starex,2008.0,110000.0,Dầu,Tự động,Hàn Quốc,Minivan (MPV),9.0,Đã sử dụng,485000000
Toyota,Zace,2004.0,185000.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,135000000
Ford,Everest,2023.0,58936.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1110000000
Kia,Sedona,2019.0,80000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,680000000
Kia,Picanto,2013.0,130000.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,Đã sử dụng,168000000
Toyota,Fortuner,2011.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,320000000
Honda,City,2023.0,35000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,525000000
Mitsubishi,Xpander,2024.0,42000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,600000000
Ford,EcoSport,2017.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,355000000
Ford,EcoSport,2019.0,86000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,385000000
Mazda,3,2022.0,30000.0,Xăng,Tự động,Nước khác,Sedan,5.0,Đã sử dụng,590000000
Hyundai,Grand i10,2018.0,72000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,308000000
Kia,Rondo,2016.0,92200.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,363000000
Ford,Ranger,2023.0,39838.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,1175000000
Honda,CR V,2018.0,88000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,675000000
Mazda,6,2021.0,39000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,699000000
BMW,3 Series,2013.0,8888.0,Xăng,Tự động,Đức,Sedan,4.0,Đã sử dụng,225000000
Hyundai,Tucson,2011.0,166000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,308000000
Mercedes Benz,GLC,2023.0,5000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,2.0,Đã sử dụng,2499000000
Mazda,3,2019.0,28000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,489000000
Hyundai,Grand i10,2017.0,90000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,185000000
Toyota,Vios,2017.0,77756.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,315000000
Hyundai,Elantra,2013.0,95425.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,Đã sử dụng,310000000
Chevrolet,Orlando,2012.0,170000.0,Xăng,Tự động,Mỹ,Minivan (MPV),7.0,Đã sử dụng,240000000
Hyundai,Santa Fe,2021.0,38000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1159000000
Mercedes Benz,GLC,2022.0,60002.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1888000000
Ford,Everest,2022.0,26000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1316000000
Mazda,CX 5,2018.0,81000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,615000000
Kia,Sorento,2021.0,67000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,6.0,Đã sử dụng,895000000
Ford,Everest,2022.0,48000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1179000000
Volkswagen,Polo,2020.0,60000.0,Xăng,Tự động,Ấn Độ,Hatchback,5.0,Đã sử dụng,418000000
Toyota,Vios,2017.0,75000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,370000000
Toyota,Vios,2017.0,73799.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,329000000
Mazda,CX 8,2024.0,22000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1085000000
Toyota,Innova,2019.0,91000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,468000000
Toyota,Vios,2019.0,86.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,295000000
Mazda,3,2020.0,91000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,508000000
Hyundai,Santa Fe,2022.0,60000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1045000000
Kia,Rio,2016.0,150000.0,Xăng,Số sàn,Hàn Quốc,Sedan,5.0,Đã sử dụng,205000000
Toyota,Innova,2006.0,230000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,208000000
Mitsubishi,Xforce,2024.0,23000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,Đã sử dụng,633000000
Toyota,Vios,2017.0,43000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,Đã sử dụng,345000000
Kia,Sorento,2017.0,85000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,539000000
Mazda,3,2009.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,195000000
Mercedes Benz,GLC,2023.0,25.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,2649000000
Toyota,Innova,2016.0,92999.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,396000000
Ford,Escape,2009.0,215000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,210000000
Ford,Everest,2021.0,55000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,938000000
Ford,Ranger,2015.0,120.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,368000000
Toyota,Camry,2022.0,28000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,895000000
Audi,Q7,2008.0,90000.0,Xăng,Tự động,Đức,SUV / Cross over,7.0,Đã sử dụng,335000000
Honda,Accord,2022.0,8000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,965000000
Ford,Ranger,2023.0,39000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,666000000
Toyota,Innova,2018.0,87000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,535000000
Hyundai,Accent,2009.0,56000.0,Xăng,Số sàn,Hàn Quốc,Sedan,5.0,Đã sử dụng,145000000
Kia,Sorento,2021.0,75000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,900000000
VinFast,VF3,2025.0,0.0,Điện,Tự động,Việt Nam,SUV / Cross over,4.0,Đã sử dụng,299000000
Nissan,Navara,2022.0,30000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,765000000
Toyota,Camry,2022.0,49000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,989000000
Hyundai,Solati,2018.0,93000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,16.0,Đã sử dụng,582000000
Mitsubishi,Xpander,2021.0,540000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,535000000
Nissan,X trail,2017.0,185000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,515000000
Toyota,Vios,2023.0,45000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,395000000
Mitsubishi,Pajero Sport,2023.0,33000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1100000000
Toyota,Fortuner,2013.0,116000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,388000000
Mercedes Benz,GLA Class,2022.0,39000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,Đã sử dụng,2360000000
Kia,K3,2022.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,564000000
Suzuki,XL 7,2021.0,85000.0,Xăng,Tự động,Nước khác,Minivan (MPV),8.0,Đã sử dụng,460000000
Honda,City,2016.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,329000000
Mercedes Benz,GLC,2023.0,19.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,2649000000
Toyota,Innova,2016.0,146465.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,345000000
BMW,3 Series,2023.0,40000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1639000000
Mercedes Benz,C Class,2023.0,24.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,2589000000
VinFast,Lux A2.0,2022.0,38000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,Đã sử dụng,610000000
Suzuki,Ertiga,2022.0,24500.0,Động cơ Hybrid,Số sàn,Nước khác,Minivan (MPV),7.0,Đã sử dụng,430000000
Honda,City,2019.0,38000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,419000000
Nissan,X Terra,2019.0,67.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,680000000
Ford,Territory,2023.0,65000.0,Xăng,Tự động,Trung Quốc,SUV / Cross over,5.0,Đã sử dụng,785000000
Kia,Sedona,2019.0,91000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,649000000
Hyundai,Grand i10,2018.0,127000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,240000000
Ford,Everest,2021.0,69000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,905000000
Toyota,Corolla Cross,2021.0,21.0,Xăng,5,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,695000000
MG,MG5,2024.0,5500.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,425000000
Honda,Civic,2023.0,30000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,800000000
Nissan,X trail,2017.0,109.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,539000000
Toyota,Vios,2021.0,45000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,385000000
Hyundai,Creta,2022.0,48000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,585000000
Kia,Sorento,2017.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,485000000
Toyota,Corolla Cross,2020.0,48000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,678000000
Toyota,Avanza Premio,2022.0,140000.0,Xăng,Số sàn,Nước khác,SUV / Cross over,7.0,Đã sử dụng,430000000
Honda,Civic,2008.0,130000.0,Xăng,Tự động,Nhật Bản,Sedan,4.0,Đã sử dụng,196000000
Toyota,Innova,2020.0,57800.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,638000000
Mercedes Benz,GLA Class,2015.0,31000.0,Xăng,Bán tự động,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,780000000
Toyota,Corolla Altis,2009.0,155000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,258000000
Mercedes Benz,GLC Class,2018.0,70000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1090000000
Ford,Everest,2022.0,28000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1355000000
Mitsubishi,Pajero Sport,2023.0,34000.0,Dầu,Tự động,Nhật Bản,SUV / Cross over,7.0,Đã sử dụng,1130000000
Mitsubishi,Xpander Cross,2023.0,23178.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,599000000
Suzuki,Ertiga,2022.0,31500.0,Động cơ Hybrid,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,480000000
Toyota,Camry,2010.0,97000.0,Xăng,Tự động,Mỹ,Sedan,4.0,Đã sử dụng,400000000
Chevrolet,Captiva,2009.0,93000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,178000000
Toyota,Yaris,2009.0,161000.0,Xăng,Số sàn,Nhật Bản,Hatchback,5.0,Đã sử dụng,195000000
Hyundai,Accent,2022.0,22000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,399000000
Mercedes Benz,V Class,2022.0,100.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,3849000000
Toyota,Fortuner,2019.0,87000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,Đã sử dụng,725000000
Kia,Morning,2015.0,120000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,225000000
Chevrolet,Cruze,2011.0,90000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,186000000
Honda,Civic,2018.0,70000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,485000000
Toyota,Innova,2015.0,170000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,320000000
Ford,Everest,2022.0,59000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,975000000
Toyota,Camry,2018.0,83375.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,650000000
Mitsubishi,Xpander,2024.0,14000.0,Xăng,Tự động,Nước khác,Minivan (MPV),5.0,Đã sử dụng,545000000
Mercedes Benz,GLC Class,2018.0,90000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1089000000
Suzuki,XL 7,2020.0,85000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,Đã sử dụng,450000000
Mazda,CX 5,2013.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,415000000
Toyota,Avanza Premio,2023.0,30000.0,Xăng,Số sàn,Ấn Độ,SUV / Cross over,7.0,Đã sử dụng,452000000
Ford,Transit,2016.0,80000.0,Dầu,Số sàn,Việt Nam,Minivan (MPV),16.0,Đã sử dụng,395000000
VinFast,VF5 Plus,2023.0,15000.0,Điện,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,479000000
Toyota,Camry,2009.0,12345.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,325000000
Hyundai,Custin,2024.0,6200.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,938000000
Kia,Sportage,2023.0,35000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,860000000
Toyota,Camry,2015.0,89368.0,Xăng,Tự động,Mỹ,Sedan,5.0,Đã sử dụng,865000000
Toyota,Innova,2013.0,155000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,335000000
Ford,Everest,2023.0,59000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1110000000
Mitsubishi,Outlander,2022.0,37000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,Đã sử dụng,725000000
Toyota,Innova,2020.0,60000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,505000000
Toyota,Innova,2011.0,128000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,229000000
Hyundai,Kona,2020.0,66000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,485000000
Toyota,Veloz Cross,2022.0,76000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,570000000
Ford,EcoSport,2020.0,16777.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,479000000
Mazda,CX 8,2020.0,75000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,728000000
Hyundai,Elantra,2019.0,51000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,499000000
Ford,Escape,2009.0,140.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,235000000
Mazda,6,2018.0,45000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,550000000
BMW,3 Series,2019.0,59999.0,Xăng,Tự động,Đức,Sedan,5.0,Đã sử dụng,1280000000
Honda,Civic,2019.0,53000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,495000000
Mercedes Benz,E Class,2019.0,1.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1099000000
Kia,Morning,2016.0,52000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,265000000
Kia,Sorento,2016.0,95000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,490000000
Lexus,GX,2008.0,93800.0,Xăng,Tự động,Mỹ,SUV / Cross over,7.0,Đã sử dụng,715000000
Ford,Everest,2018.0,56000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,828000000
Hyundai,Tucson,2019.0,41300.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,729000000
Toyota,Innova,2014.0,75554.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,365000000
VinFast,Lux A2.0,2021.0,45000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,664000000
VinFast,Lux SA2.0,2019.0,89638.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,660000000
Toyota,Innova,2017.0,93000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,395000000
Hyundai,Tucson,2020.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,670000000
Toyota,Camry,2021.0,72000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,858000000
Chevrolet,Aveo,2011.0,100000.0,Xăng,Số sàn,Hàn Quốc,Sedan,5.0,Đã sử dụng,120000000
Honda,CR V,2022.0,41000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,915000000
Toyota,Innova,2013.0,25000.0,Xăng,Số sàn,Việt Nam,Sedan,8.0,Đã sử dụng,245000000
Hyundai,Santa Fe,2008.0,26000.0,Dầu,Tự động,Hàn Quốc,SUV / Cross over,7.0,Đã sử dụng,285000000
Honda,Accord,2018.0,99000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,649000000
Chevrolet,Captiva,2015.0,55000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,378000000
Hyundai,Tucson,2009.0,110000.0,Xăng,Tự động,Hàn Quốc,SUV / Cross over,5.0,Đã sử dụng,225000000
Mercedes Benz,GLC,2022.0,13000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1699000000
Kia,Carens,2012.0,120000.0,Xăng,Tự động,Hàn Quốc,Minivan (MPV),7.0,Đã sử dụng,255000000
Hyundai,Elantra,2019.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,469000000
Mazda,3,2022.0,15000.0,Dầu,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,575000000
Hyundai,Elantra,2018.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,459000000
Mazda,6,2014.0,110000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,338000000
Ford,Everest,2022.0,33000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1182000000
Kia,Carens,2016.0,90000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,238000000
Toyota,Innova,2023.0,17000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),9.0,Đã sử dụng,695000000
Toyota,Camry,2020.0,65840.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,895000000
Mitsubishi,Xpander,2023.0,50000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,Đã sử dụng,579000000
Hyundai,Santa Fe,2020.0,58000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,839000000
Toyota,Land Cruiser Prado,2016.0,95000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,7.0,Đã sử dụng,1279000000
Honda,HR-V,2022.0,23000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,795000000
Chevrolet,Colorado,2019.0,91368.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,410000000
Ford,EcoSport,2017.0,65000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,369000000
Toyota,Innova,2020.0,12456.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,690000000
Ford,Fiesta,2016.0,67000.0,Xăng,Tự động,Nước khác,Hatchback,5.0,Đã sử dụng,249000000
Toyota,Innova,2015.0,10000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,310000000
Toyota,Innova,2007.0,200000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,180000000
Chevrolet,Spark,2013.0,136000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,170000000
Ford,Ranger,2023.0,59000.0,Dầu,Số sàn,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,615000000
Ford,Focus,2013.0,90000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,345000000
Honda,Civic,2006.0,150000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,216000000
Mercedes Benz,S Class,2022.0,50.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,4849000000
Toyota,Vios,2021.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,450000000
Chevrolet,Captiva,2008.0,46.0,Xăng,Số sàn,Nhật Bản,SUV / Cross over,8.0,Đã sử dụng,125000000
Ford,Focus,2013.0,110000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,205000000
