brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Mercedes Benz,GLC,2018.0,52000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1060000000
Toyota,Corolla Altis,2020.0,55689.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,570000000
Kia,Carnival,2022.0,58000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,1155000000
Mazda,CX 5,2023.0,20000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,786000000
Peugeot,2008,2022.0,76000.0,Xăng,Tự động,Nước khác,Kiểu dáng khác,5.0,Đã sử dụng,650000000
Toyota,Corolla Altis,2018.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,475000000
Toyota,Vios,2019.0,90000.0,Xăng,Số sàn,Nước khác,Sedan,5.0,Đã sử dụng,168000000
Toyota,Fortuner,2011.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,315000000
Hyundai,Grand i10,2018.0,77000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,198000000
Honda,Civic,2020.0,5678.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,900000000
Honda,Civic,2022.0,22000.0,Xăng,Tự động,Thái Lan,Sedan,2.0,Đã sử dụng,775000000
Mitsubishi,Outlander,2020.0,22000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,615000000
Toyota,Land Cruiser Prado,2018.0,120000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,7.0,Đã sử dụng,1880000000
Mercedes Benz,GLC,2016.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,830000000
Lexus,RX,2022.0,26000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,3215000000
Mazda,3,2014.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,295000000
Hyundai,Elantra,2024.0,6000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,628000000
Hyundai,Grand i10,2016.0,456.0,Xăng,Số sàn,Ấn Độ,Hatchback,5.0,Đã sử dụng,148000000
Hyundai,Grand i10,2016.0,5678.0,Xăng,Số sàn,Ấn Độ,Hatchback,5.0,Đã sử dụng,148000000
VinFast,VF6,2024.0,0.0,Điện,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,689000000
Peugeot,3008,2014.0,110000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,320000000
Mercedes Benz,E Class,2022.0,18000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1789000000
Hyundai,Sonata,2011.0,110000.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,Đã sử dụng,296000000
Toyota,Fortuner,2016.0,115686.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,520000000
Toyota,Sienna,2003.0,100000.0,Xăng,Tự động,Mỹ,Minivan (MPV),8.0,Đã sử dụng,299000000
Kia,Morning,2020.0,35000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,315000000
Mitsubishi,Xforce,2024.0,5000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,Đã sử dụng,655000000
Mercedes Benz,S Class,2015.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1279000000
Mitsubishi,Pajero Sport,2012.0,87000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,325000000
Kia,Sportage,2023.0,35800.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,860000000
Peugeot,3008,2022.0,24000.0,Xăng,Tự động,Việt Nam,Kiểu dáng khác,5.0,Đã sử dụng,875000000
Mazda,CX 5,2023.0,24000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,865000000
Ford,Territory,2023.0,43000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,665000000
Ford,Fiesta,2011.0,100000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,170000000
Lexus,RX,2023.0,17000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,3434000000
Mitsubishi,Xpander,2024.0,43000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),7.0,Đã sử dụng,600000000
Ford,Everest,2024.0,16000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1305000000
Honda,City,2023.0,20000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,Đã sử dụng,525000000
Mercedes Benz,C Class,2020.0,33000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1068000000
Honda,City,2018.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,380000000
Mercedes Benz,C Class,2018.0,54000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,780000000
